,content,fact
1834,백신 안 맞은 자녀도 격리없이 하와이여행 가능하다라는 온라인상 주장.,절반의 사실
1835,국민의힘의 경기도청 국정감사 자료 제출 요구는 지나치다는 이재명 경기도지사의 발언.,대체로 사실 아님
1836,아일랜드는 사회적 대타협으로 노동개혁에 성공해 선진국에 진입했다.,대체로 사실
1837,대선 후보 정신분석 미국에선 넘쳐난다..,절반의 사실
1838,없음,전혀 사실 아님
1839,코로나19 예방을 위해 마스크를 항상 쓰므로 독감 백신 접종을 하지 않아도 된다라는 온라인상 주장.,대체로 사실 아님
1840,심근염을 피하기 위해서는 코로나19 백신을 심장에서 먼 오른팔에 맞아야 한다라는 온라인상 주장.,전혀 사실 아님
1841,지인에게 무료변론을 하는 것은 청탁금지법 위반으로 보기 어렵다라는 주장.,절반의 사실
1842,.코로나19가 남성보다 여성 고용에 더 악영향을 미쳤다는 언론사 자체 문제제기.,사실
1843,최근 다수 언론으로부터 자녀 양육비를 주지 않은 아버지 2명에게 출국금지 조치가 내려졌다는 내용의 기사들이 쏟아져 나왔다. 관련 언론 보도의 기사 제목만 보면 양육비 미지급자는 무조건 출국금지된다고 생각할 수 있음. 이에 따라 출국금지 대상이 되는 요건이 무엇인지 검증함..,전혀 사실 아님
1844, .다음 달11월부터 군대 두발 규정이 폐지된다는 커뮤니티 사이트 게시글.. . . .,전혀 사실 아님
1845, .선거법상의 허위사실 공표는 후보가 해당되는 것이다라는 원희룡 국민의힘 대선 경선 후보의 발언.. . . .,전혀 사실 아님
1846, .방송통신위원회가 북한 홍보 프로그램을 편성한 방송국에 가점을 준다는 국민의힘 김영식 의원의 보도자료 내용. . .,대체로 사실 아님
1847,유승민 후보의 지난 15일 유튜브 발언.,대체로 사실 아님
1848,윤석열 대선 후보의 19일 페이스북 발언.검증 방법.관련 사건 판결문 조사.검증 내용.윤석열 후보는 지난 19일 자신의 페이스북에 민주노총의 총파업 선언을 비판하며 구의역 스크린도어 사고를 언급했다. 윤 후보는 구의역 스크린도어 김군의 사망사건은 민주노총 조합원의 이기심과 안전불감증이 낳은 참사라고 말했다..구의역 사고는 지난 2016년 5월 28일 김모 군19이 구의역 승강장에서 홀로 스크린도어를 수리하다 전동열차에 치여 사망한 산재 사고다. 안전 수칙상으로는 스크린도어 수리 시 2인 1조가 작업을 수행해야 했지만 열악한 작업 환경으로 김 군은 혼자 수리를 하다 변을 당했다. 김 군의 가방에는 미처 먹지 못한 컵라면이 들어있어 안타까움을 더했다..윤 후보가 김 군의 사망 원인으로 지적한 조합원의 이기심은 구의역 사고 1심 재판 판결문2017고단1506에서 확인할 수 있다..판결문에 따르면 사고 당시 근무하던 인원은 상황실장과 예비 대기자 14호선 담당자 등 총 6명이었다. 상황실장은 스크린도어 장애접수를 받아 2인 1조의 정비자를 배치하는 역할을 맡았다.,절반의 사실
1849,원희룡 대선후보의 15일 유튜브 발언.검증 방법.관련 논문 검토.검증 내용.원희룡 후보는 15일 국민의힘 대선 예비후보자 1대1 맞수토론에서 NATO식 핵공유에 대해 반대 입장을 밝히면서 NATO식 핵공유를 한다 하더라도 발사권은 미국 대통령이 가지고 있다고 말했다..북대서양조약기구NATO는 유럽과 북미 지역 국가의 군사 동맹으로 미국과 영국 독일 프랑스 등 30개 회원국이 소속돼 있다. 미국은 독일과 네덜란드 벨기에 이탈리아 터키 등 유럽국에 핵무기를 배치하고 있는데 유사시 회원국 공군이 전투기DCA에 핵무기를 싣고 목표점에 투하한다..하지만 핵무기 자체에 대한 통제는 원 후보의 말대로 미국이 전적으로 담당한다. NATO 공식 웹사이트에서는 미국은 유럽에 배치된 핵무기의 절대적인 통제와 보관을 유지하는 반면 동맹국은 재래식 전력과 능력으로 DCA 임무에 대한 군사 지원을 제공한다고 명시했다..표면적으로 핵 운용에 대한 의사결정은 미국과 전술핵 배치국이 아니라 NATO의 핵 계획 그룹NPG프랑스 제외이 검토한다. 여기에 핵 사용 작전계획 등은 사실상 미국이 주도하고 있다는 연구논문도 있다. 황일도 외교안보연구소 조교수는 동맹과 핵공유 논문에서 냉전시기 핵 사용 계획은 미군 4성 장군인 유럽동맹군최 고사령관Supreme Allied Commander EuropeSACEUR이 담당했으며 이 자리는 미군 유럽사령부USEUCOM 사령관이 고정적으로 겸임하고 있다고 설명했다.,대체로 사실
1850,홍준표 후보의 25일 페이스북 발언.검증 방법.관련 법 조항 선관위 자료 검토.검증 내용.홍준표 후보는 지난 25일 자신의 페이스북에 정치인 후원회장은 옛날과 달리 제도가 바뀌어 돈 관리 하는 자리가 아니고 후원금은 후원회 회계 책임자가 법률에 따라 관리 한다며 후원회장은 만약 문제가 생기면 법적 책임만 지는 어려운 자리라고 말했다. 앞서 경쟁자인 윤석열 후보는 어떤 분들은 가족이 후원회장을 맡는다며 홍 후보를 에둘러 비판했는데 이에 대한 반박을 한 것이다..홍 후보의 후원회장은 그의 부인인 이순삼 여사가 맡고 있다. 홍 후보는 저는 국회의원 시절부터 지난 대선 때와 이번 대선 때도 제 아내를 후원회장으로 하고 있다며 아름다운 동행이고 희생이라고 설명했다..정치인은 정치자금법에 따라 선거관리위원회에 후원회를 등록하고 후원금을 운용해야 한다. 사실상 후원회장은 명예직으로 정치자금법에 따라 후원금을 마음대로 쓸 수 없다. 후원회의 수입지출은 회계 책임자만이 할 수 있고 후원회장이 회계 책임자를 겸임할 수도 없다..다만 후원회장이 유사시 모든 문제에 대한 법적 책임을 지는 것은 아니다. 정치자금법은 후원회 회계 책임자를 1명으로 정하고 있는데 이는 정치자금 수입지출의 투명성을 확보하고 그 책임소재를 명확하게 하기 위한 것이다. 따라서 후원금 수입지출에 문제가 생길 경우 법적 책임도 회계 책임자가 질 가능성이 높다. 실제로 법원 종합법률정보에서 판결문을 검색했을 때 정치자금법 위반 판결에서 회계 책임자가 언급된 사례는 63건이었지만 후원회장이 언급된 사례는 3건에 불과했다.,절반의 사실
1851,공백,공백
1852,행정적으로 편하다는 이유로 다문화 학생들을 한 학교로 몰아넣고 증설시키려고 하고 있다는 청와대 국민청원.,전혀 사실 아님
1853,.위드 코로나가 일본식 영어라는 인터넷 커뮤니티 언론 기고문의 주장.,사실
1854,뇌물에서 세금을 냈다면 뇌물을 몰수당할 때는 뇌물액에서 과세액을 빼준다라는 내용.,대체로 사실 아님
1855,2021년 10월 25일 발생한 KT의 통신장애로 피해를 본 이용자들이 손해배상을 받을 수 있는지.,절반의 사실
1856,유류세를 인하하면 부자들이 더 혜택받는다라는 주장.,절반의 사실
1857,공백,공백
1858,공백,공백
1859,.김기현 의원이 소유한 울산 땅이 구매 당시에 비해 1800배 올랐다는 양이원영 의원의 주장.,대체로 사실 아님
1860,국민의힘 유승민 대선 후보는 인구 1000명당 사회서비스 취업자는 OECD 평균 70.4명인데 한국은 42.7명으로 27.7명의 격차가 있다는 근거로 사회서비스 일자리를 OECD 평균까지 끌어올리겠다는 일자리 공약을 발표했다..,전혀 사실 아님
1861,특정 세력이 매크로기계적 개입를 사용했거나 네이버가 실검 순위를 직접 수정했다.,절반의 사실
1862,유선 여론조사는 보수 무선 여론조사는 진보에 유리.,대체로 사실 아님
1863,독일에서 홀로코스트 부정하면 처벌받는다.,절반의 사실
1864,공백,공백
1865,노태우 전 대통령 사망의 공식 명칭은 서거다.,사실
1866,윤석열 후보의 고발사주 의혹 관련 많은 여론조사가 윤석열 책임보다 정치 공작이라고 답한 비율이 높았다는 발언.,대체로 사실 아님
1867,홍준표 후보의 지지율 높은 후보가 비호감도도 높다. 지난 대선 당시에도 문재인 후보 비호감도가 가장 높았다.는 발언.,절반의 사실
1868,먹는 코로나 치료제 몰누피라비르가 기형아 유발한다라는 주장.,대체로 사실 아님
1869,대통령후보 지지율을 조사하거나 투표를 유도하는 온라인 커뮤니티 글은 선거법 위반이다라는 내용.,사실
1870,밤중 샤워나 목욕 소리도 층간소음이다라는 내용.,전혀 사실 아님
1871,영장 논란 판사 국감 증인으로 출석해야 한다 ,전혀 사실 아님
1872,시진핑이 보낸 노태우 조전을 정부가 고의적으로 은폐했고 이는 외교적 결례이다.국민의힘 허은아 수석대변인 논평 11.02.정부가 때아닌 조전 논란에 휩싸였다. 노태우 전 대통령의 별세를 위로하는 시진핑 중국 국가주석의 조전 발송 사실을 사흘이나 묵혀뒀다가 공개해 고의 지연 의심을 받은 것이다. 국민의 힘 허은아 수석대변인은 지난 2일 논평을 통해 정부가 조전이 온 것을 은폐한 것이다. 외교부의 배달사고는 인지상정의 측면에서 변명의 여지가 없다 외교적 결례를 범한 것이고 국제적 망신을 자초한 것이라고 비판했다. 이에 외교부는 타국 정상들의 조전을 한 데 모아 발표하는 과정에서 늦어진 것이라며 억울하다는 표정이다. 정부에서 고의적으로 조전을 은폐한 외교적 결례 상황인지 사실 확인이 필요하다..,대체로 사실 아님
1873,한국당이 여당일 때도 공수처는 반대했다.,대체로 사실 아님
1874,핼러윈이 우리나라에서 변질됐다는 SNS 여론.검증 방법.국내 및 해외 논문.해외 사례 조사.검증 내용.핼러윈의 역사  어린이만의 것은 아냐.핼러윈의 기원은 켈트족으로 거슬러 올라간다. 켈트족은 BC 500년경 영국 아일랜드 지방을 지배했던 민족이다. 켈트족은 매년 10월 31일 악령 쫓는 축제를 즐겼다. 그들은 11월을새해시작으로 정했는데 한 해의 마지막 날인 10월 31일에 악령들이 몰린다고 생각했다. 그들을 겁주기 위해 유령 복장 등 코스튬도 이때 시작했다..이후 기독교가 퍼지면서 10월 31일은 성인의 날All Hallow Day 전날 즉 All Hallow Eve가 됐고 이것이 Halloween으로 줄어 핼러윈이 됐다. 즉처음부터 핼러윈이 아이들과 관련이 있지는 않았다.,전혀 사실 아님
1875,3일 청와대 국민청원 게시판에 따르면 초등학교 여교사 화장실에 카메라 설치한 교장 선생님 강력처벌과 신상공개를 촉구합니다라는 제목의 청원 글이 지난 1일 게시됐다..,판단 유보
1876,18년 전 성폭행도 처벌할 수 있다라는 내용.,대체로 사실
1877,핼러윈 기간에 외국인의 방역 수칙 위반 많았다라는 내용.,전혀 사실 아님
1878,법원은 컴퓨터 배당을 합니다. 검찰은 묻지마 배당을 합니다,전혀 사실 아님
1879,우리 정부의 2030년 온실가스 감축 목표는 과도하다라는 주장.,절반의 사실
1880,백신 미접종도 해고입사 취소 사유가 된다라는 주장.,절반의 사실
1881,.홍준표 캠프가 제기한 윤석열 실언망언리스트에서 해당 발언들을 실제로 했는지 여부.,대체로 사실
1882,윤석열 캠프가 공개한 홍준표 망언막말 리스트의 해당 발언들을 홍준표 후보가 실제로 했는지 여부.,대체로 사실
1883, .이재명이 과거 벌금형을 받았던 검사 사칭 사건의 담당 검사가 곽상도 전 국민의힘 의원이라는 언론 보도와 온라인 커뮤니티 게시글. . .,전혀 사실 아님
1884,아버지가 코로나 백신을 맞은 지 이틀 만에 숨졌는데 병원비 7200원만 보상받을 수 있게 됐다는 온라인 커뮤니티 글과 이를 다룬 다수의 언론 보도.,대체로 사실
1885,서울시가 tbs 상업광고 허가권을 가지는지의 여부.,전혀 사실 아님
1886,공수처 설립은 여러 면에서 위헌이다,절반의 사실
1887,얀센 접종자들의 부스터샷이 시작된 지난 1일부터 각종 온라인커뮤니티와 SNS 상엔 부스터샷을 맞기 전 화이자와 모더나를 비교하는 글들이 연이어 올라오고 있다..,판단 유보
1888,이재명 더불어민주당 대선 후보가 올해 초과세수가 약 40조 원이 될거라고 한다며 이 돈으로 전 국민에게 재난지원금을 지급할 수 있다는 주장.,전혀 사실 아님
1889,홍준표 국민의힘 의원의 한국의 법인세 최고세율은 다른 선진국에 비해 높다는 발언.,대체로 사실
1890,공백,공백
1891,공백,공백
1892,공백,공백
1893, .높은 인구 밀도 탓에 시골보다 도시가 코로나19 감염에 더 취약하다는 통념은 사실일까. 국내 국토연구원 연구는 이 같은 주장을 뒷받침하지만 전 세계 언제 어디에서나 예외 없이 적용될 수 있는지 팩트체크해봤다..,절반의 사실
1894,서울시 청년수당 정책 효과 입증 됐다,대체로 사실
1895,이명박 정부 시절 정권교체 여론이 60를 넘었는지 여부를 살펴봤다..,절반의 사실
1896,오토바이자전거 헬멧 단단한 모자면 모두 가능하다.,전혀 사실 아님
1897,한해 낙태는 110만 건은 사실일까.,전혀 사실 아님
1898,무궁화꽃이 피었습니다 놀이 원조가 일본이다라는 주장.,전혀 사실 아님
1899,공모주 균등배정제도가 증권사 배만 불린다라는 주장.,대체로 사실 아님
1900,암모니아가 차량용 요소수 대체할 수 있다라는 주장.,전혀 사실 아님
1901,남의 아파트 놀이터에서 놀면 주거침입이다라는 주장.,전혀 사실 아님
1902,,절반의 사실
1903,. . .최근 국내 인터넷 커뮤니티에서 백신 접종 후 심근염은 주사 접종방식이 잘못되어 생긴다는 이야기가 반복적으로 공유되고 있음. 내용을 보면 mRNA 방식의 코로나19 백신이 근육이 아니라 정맥이나 모세혈관에 주사되면 심근염에 걸려 사망할 확률이 대폭 증가한다고 설명. 근거는 의학저널 Clinical Infectious Diseases에 게재된 홍콩대학 연구진이 동물실험을 한 결과. 작성자는 현재 정부의 리거즈주삿바늘을 접종 부위에 찌른 뒤 백신을 주입하기 전 주사기 내관을 뒤로 살짝 당기는 작업하지 않는 부적절한 접종 방식으로 인해 운이 나쁘면 사망에 이를 수 있다고 주장. 정말 mRNA방식의 백신 접종 후 생기는 심근염이나 심낭염이 주사 접종방식 잘못되어 생기는지 사실 여부를 검증..,판단 유보
1904,이재명 민주당 대선후보의 우리나라 코로나 지원금이 세계에서 가장 낮은 수준이라는 주장.,절반의 사실
1905,도서정가제 탓에 웹툰웹소설 무료보기 사라진다,대체로 사실
1906,국민의힘 신원식 의원 경항모 사업에 혈세 20조 원이 넘게 든다는 발언.방위사업청 국정 감사 21.10.12.,대체로 사실 아님
1907, .안철수의 대선 출마 선언은 말 바꾸기라는 언론 보도. . .,절반의 사실
1908,비례대표제 폐지는 위헌이다 ,전혀 사실 아님
1909,박범계 법무부 장관의 공용폰은 디지털 포렌식때 정보주체 동의 필요없다는 발언.,대체로 사실 아님
1910,공백,공백
1911,심상정 정의당 대선후보의 세계적으로 주 4일제를 주도하는 것은 오히려 스타트업과 중소기업이다는 발언.,대체로 사실
1912,공백,공백
1913,회사 소유의 PC휴대전화는 사용하는 직원의 동의 없이 열람할 수 있다라는 내용.,대체로 사실 아님
1914,첫눈이 일찍 오면 그해 겨울은 더 춥다라는 주장.,대체로 사실 아님
1915,사고 책임이 더 큰 킥보드 운전자의 치료비도 차량 운전자가 문다라는 내용.,대체로 사실
1916,투표를 독려한 허경영 전화는 선거법 위반이다라는 내용.,전혀 사실 아님
1917,없음,전혀 사실 아님
1918,한국당 마음대로 의원 총사퇴할 수 있다,대체로 사실 아님
1919,화이자 CEO가 백신을 맞지 않았다는 커뮤니티 및 SNS 댓글.,전혀 사실 아님
1920,없음,전혀 사실 아님
1921,이재명 윤석열 후보의 여성가족부가 특정 성별에 치우친 정책을 하고 있다 는 주장.,대체로 사실 아님
1922,강화된 법제도에도 불법촬영 범죄가 줄지 않았다..,대체로 사실
1923,이재명 더불어민주당 대선 후보 말대로 루스벨트 대통령은 공산주의 정책을 펼쳤을까.,대체로 사실 아님
1924, 민정기 전 청와대 공보담당비서관 발언11월 23일 서울 연희동 전 씨 사망 관련 브리핑. . 민정기 전 청와대 비서관은 전 씨가 백담사에 가기 전과 광주 청문회 때 피해자들에게 여러 가지 미안하다는 뜻을 밝혔다고 말해. 특히 민 전 비서관의 자꾸 사죄하라고 하는데 피해자들 유가족에 대한 그런 말씀은 이미 하신 바가 있고 라는 말은 전 씨가 이미 5.18민주화운동 피해자와 유족들에게 사과했다는 취지로 읽히기 충분. 전 씨가 5.18민주화운동 피해자와 유가족에게 정말 사과를 했는지 사실 여부를 검증..,전혀 사실 아님
1925,기온이 낮은 남극에서는 감기에 걸리지 않는다는 주장. 오래된 속설로 남극은 너무 추워 바이러스가 얼어 죽기 때문에 감기에 걸리지 않는다라는 이야기가 있다. 추운 날씨에 감기 환자가 늘어나는 겨울철 이 속설이 사실인지에 대해 검증하고자 한다.. .,절반의 사실
1926,공백,공백
1927,공백,공백
1928,공백,공백
1929,한국인만 물질적 풍요를 가장 중시한다는 언론 보도.,대체로 사실 아님
1930,유승준 41세 넘었으니 체류자격 자동 부여 받는다,전혀 사실 아님
1931,페스트는 공기로도 전염된다 ,절반의 사실
1932,.우리나라 주식 배당이 취약하다는 이재명 후보의 발언.,대체로 사실
1933,역대 어느 정부보다 입주인허가 물량이 많았으며 앞으로 계획되고 있는 물량도 많다는 문재인 대통령의 주장.,대체로 사실
1934,헌혈로 에이즈간염 피 수만 명에게 퍼졌다.,전혀 사실 아님
1935,국민 문맹률 80라 군부독재는 숙명이었다.,전혀 사실 아님
1936,온라인 커뮤니티의 2023년부터 경찰 체력시험은 여성 기준으로 변경돼 경찰 체력을 하향 평준화시킨다는 주장.,전혀 사실 아님
1937,종전선언을 하면 유엔사령부가 무력화되기 쉽다는 윤석열 국민의힘 후보의 발언.,절반의 사실
1938,외국에서는 여경 채용시 남녀 체력기준이 같다는 SNS 바이럴.,절반의 사실
1939,맹견 아닌 대형견에도 입마개 채우게 할 수 있다라는 내용.,전혀 사실 아님
1940,집 앞에서 기다리거나 따라가는 취재 행위도 스토킹이다라는 주장.,대체로 사실 아님
1941,올해 초과 세수는 50조원이다라는 내용.,대체로 사실
1942,모듈러 공법으로 짓는 교실 안전성에 문제있다라는 내용.,전혀 사실 아님
1943,예우 박탈 전두환 사망해도 부인 이순자씨 경호는 계속.,사실
1944,서민 연료 등유에 사치세를 부과하고 있다는 청와대 국민청원 글.,전혀 사실 아님
1945,민식이법은 스쿨존에서 난 사고를 무조건 가중처벌하는 악법이다 ,절반의 사실
1946,공백,공백
1947,블프에 해외 직구해 남에게 되팔아도 된다라는 주장.,절반의 사실
1948,한국은 코로나19와 관련해 인구 100만 명당 사망자 숫자가 적은 편이라는 문재인 대통령의 발언에 대한 사실 관계 확인..,대체로 사실
1949,투개표에 동원되는 공무원들 시급 6천 원 받는다라는 주장.,절반의 사실
1950,전두환 33년전 백담사 갈 때 518 사과했다라는 주장.,전혀 사실 아님
1951,배달음식에서 이물질이 나왔을 때 보상금을 받을 수 있다라는 내용.,대체로 사실
1952,오토바이 탄 채 횡단보도 건너면 위법이라는 주장.,사실
1953,현장 CCTV 보려면 화면에 나온 사람들 동의가 필요하다라는 주장.,대체로 사실
1954,여객자동차법 개정안은 타다금지법이다. ,대체로 사실
1955,화교 특별 전형으로 의대 갈 수 있다 는 SNS 등 온라인 매체 바이럴.,전혀 사실 아님
1956,공백,공백
1957,오미크론 변이가 에이즈 환자에서 처음 발생했을 수 있다는 다수 언론 매체의 보도.,판단 유보
1958,공백,공백
1959,공백,공백
1960,윤석열 대선후보의 탈원전에 따른 손실을 전력기금으로 보전해준다고 한다며 무모하게 탈원전을 추진하지 않았더라면 전기요금 인상 압박도 없었을 것이고 이처럼 국민의 준조세로 마련한 전력기금으로 손실을 메꾸는 일도 막을 수 있었을 것 발언.검증 방법.국내 법 개정 조항 확인.검증 내용.지난 26일 윤석열 국민의힘 대선 후보는 자신의 페이스북에서 탈원전에 따른 손실을 전력기금으로 보전해준다고 한다며 무모하게 탈원전을 추진하지 않았더라면 전기요금 인상 압박도 없었을 것이고 이처럼 국민의 준조세로 마련한 전력기금으로 손실을 메꾸는 일도 막을 수 있었을 것이라고 지적했다..앞서 산업통상자원부는 국정 현안점검 조정회의에서 에너지전환원전감축 비용보전 이행계획을 심의하고 확정했다. 이번 계획에는 탈원전 정책에 따라 원전 사업자가 발전사업을 하지 않기로 결정한 경우 그 비용을 전력산업기반기금으로 보전하는 내용이 담겼다..윤 후보의 지적대로 전력기금은 전기사업법에 따라 국민이 내는 전기요금의 3.7를 내는 준조세다. 이 기금은 신재생에너지 발전 사업자의 지원이나 도서벽지 주민을 위한 전력공급 사업 전력산업 관련 연구 등 전력사업의 발전과 산업 기반 조성을 위해 설치됐다..전력기금은 전기사업법 제49조에서 정해둔 목적으로 사용되는데 탈원전에 따른 비용 보전의 경우 근거 법령이 없었다. 이에 정부는 지난 6월8일 전기사업법 시행령을 개정하고 탈원전을 결정한 사업자의 손실을 보전해주는 근거법령을 마련했다.,사실
1961,공백,공백
1962,코로나19 백신이 오미크론에 무력한지의 여부.,판단 유보
1963,곰탕집 성추행 피해자의 일관된 진술만으로 유죄가 됐다,전혀 사실 아님
1964,법무부의 검찰 조기 인사는 위법하다,대체로 사실
1965,이재명 후보의 호남 지역 지지율이 역대 민주당 대선후보들에 비해 낮다는 언론 보도.,대체로 사실 아님
1966,놀이터가 부족하기 때문에 놀이터와 관련된 갈등이 계속되는지 검증.,절반의 사실
1967,없음,대체로 사실
1968,PCR 검사 영문확인서 발급 수수료가 20만원이라는 내용.,대체로 사실
1969,바이러스 전파력 높으면 치명률 낮다라는 주장.,절반의 사실
1970,공백,공백
1971,코로나19 백신이 오미크론에 무력한지의 여부.,판단 유보
1972,문희상 국회의장의 선거법 상정 순서 변경은 직권 남용이다,대체로 사실
1973,한국은 세계 최악의 산재국가,대체로 사실
1974,불법 논란 왕릉뷰 아파트는 위치에 따라 부분 철거해야 하지만 사실상 불가능하다는 분석.,대체로 사실 아님
1975,심상정 대선후보의 지금 청년들의 확장실업률이 최고 27를 넘나든다 청년 4명 중 1명이 사실상 실업인 것 발언.,절반의 사실
1976,기업 상표를 활용한 정치 홍보물의 상표권 침해 여부.,대체로 사실 아님
1977,윤 후보의 국민들은 치료시설이 부족해 자택치료를 강요받고 있다 발언.,절반의 사실
1978,공백,공백
1979,뇌종양 수술 받아도 군 면제 아니다라는 온라인 게시글.,절반의 사실
1980,똑같이 로스쿨을 나왔는데 여자 직업법무관은 대위로 뽑고 우리 아들은 중위밖에 못 단다는 이수정 경기대 교수의 발언.,전혀 사실 아님
1981,공소시효 끝난 성범죄 제3자가 고발 가능한지의 여부.,절반의 사실
1982,만혼 추세는 사실이 아니다라는 주장.,대체로 사실 아님
1983,40대 이상 출입금지 차별행위로 처벌할 수 있다라는 내용.,전혀 사실 아님
1984,공백,공백
1985,미국과 유럽 등의 선진국이 만 18세 선거권을 허용하는 것은 사실이지만 우리보다 졸업 연령이 빠르다.,대체로 사실
1986, .국토보유세로 기본소득을 지급하면 상위 10가 순부담 가구이고 90가 순수혜가구라는 이재명 후보의 주장. . . .,전혀 사실 아님
1987,무선 이어폰 오래 쓰면 암 걸린다 ,전혀 사실 아님
1988,AI 윤석열과 같은 딥페이크 활용 선거운동이 해외에서 규제 대상인지 검증.,대체로 사실 아님
1989,국가부채비율 100가 넘어도 문제 없다는 이재명 후보의 발언.,대체로 사실 아님
1990,SNS에서 사진이름 훔쳐 타인 행세형사처벌 가능.,전혀 사실 아님
1991,2019년 1월 15일 내가 입당할 때 당 지지율이 8였다,절반의 사실
1992,.최근 온라인 상에서 중앙선거관리위원회선관위가 쥴리 르네상스 등과 같은 특정 단어를 제재하고 나섰다는 주장이 제기됐다..,절반의 사실
1993,제1야당 무시한 선거법 개정 헌정사상 처음,대체로 사실 아님
1994,SNS 떠도는 이란 폭격 영상 사실이다 ,대체로 사실 아님
1995,충청지역은 선거의 바로미터인가.,대체로 사실
1996, SNS 및 온라인 커뮤니티.온라인 커뮤니티에는 코로나19 검사용 면봉이 산화에틸렌이라는 물질을 포함하고 있어 인체에 유해하다는 주장이 확산. 글을 올린 사람들은 면봉 포장지에 적힌 산화에틸렌 문구를 보여주며 면봉에 발암 물질인 산화에틸렌이 포함돼 있다고 주장. 산화에틸렌은 1급 발암물질로 장기간 노출되면 백혈병과 유방암 등 발생 위험이 증가한다는데 이런 사실이 크게 다뤄지지 않고 있다고도 지적. 과연 이 주장이 사실일지 검증..,전혀 사실 아님
1997,국민의힘 윤석열 대선 후보는 지난 14일 서울 중구 프레스센터에서 열린 관훈클럽 초청 토론회에서 선거대책위원회에 검찰 출신 인사가 다수 포진해 집권 시 검찰공화국이 되는 것 아니냐는 우려에 더불어민주당에도 검사나 판사 출신이 많고 우리 당국민의힘에도 법조인들이 의회에 많이 진출하는 상황이다. 미국 하원은 법조인이 75정도인 것으로 알고 있다고 답했다..윤 후보는 저희 당에도 검사 출신이 많습니다만 이것을 검사 출신이라고 해야 하는지 모르겠다라며 벌써 오래전에 십수년 전에 검사를 그만두고 3선4선으로 들어온 사람을 검사 출신이라고 해야 하는지 의문이다라고 강조했다. 민주당과 미국 연방하원의회 사례를 들면서 검찰 선대위라는 오명을 벗으려는 의도다..,전혀 사실 아님
1998,공백,공백
1999,법무부 장관이 검찰 사무의 최종 감독자라는 것은 검찰청법에 규정돼 있다,대체로 사실
2000,공백,공백
2001,윤석열 대선후보의 N번방 방지법은 제2의 N번방 범죄를 막기에는 역부족인 반면 절대 다수의 선량한 시민들에게 검열의 공포를 안겨준다 발언.검증 방법.국내 시행 법 조항 확인 .검증 내용.디지털 성범죄 유통을 근절하기 위해 제정된 N번방 방지법이 지난 10일을 기점으로 첫 시행됐다. 이에 대해 윤석열 국민의힘 대선 후보는 지난 12일 자신의 페이스북에 N번방 방지법은 제2의 N번방 범죄를 막기에는 역부족인 반면 절대 다수의 선량한 시민들에게 검열의 공포를 안겨준다고 지적했다. N번방 방지법은 정말 범죄를 막지 못하고 시민의 개인 메시지를 검열하고 있을까.N번방 방지법의 정식 명칭은 전기통신사업법 개정안이다. 지난 2019년 텔레그램 등 SNS를 통해 미성년자 성착취 영상 등을 공유하는 디지털 성범죄 사건이 사회적 공분을 사면서 여야 합의로 만들어졌다. 법안에는 전기통신사업자가 불법 촬영물 유통 방지를 위한 조치를 취하지 않으면 처벌하는 내용이 담겼다..구체적인 조치 방법은 전기통신사업법 시행령에 따른다. 통신사업자는 이용자의 영상물을 분석해 불법 촬영물일 경우 게재를 제한하고 불법 촬영물 발견 시 신고 시스템을 갖추며 불법 촬영물 검색 결과를 제한하는 등 조치를 취해야 한다..하지만 윤 후보의 지적대로 정작 N번방 사건의 주 무대였던 텔레그램은 이 법이 적용되지 않는다. 방송통신위원회 고시에 따르면 법안이 적용되는 통신사업자는 일평균 이용자 10만 명 이상 또는 연평균 매출액 10억 원 이상 사업자 중 사회관계망서비스SNS 온라인 커뮤니티 대화방 인터넷개인방송 검색서비스를 제공하는 곳이다. 카카오톡과 네이버 트위터 구글 디시인사이드 등 87개 사업자가 해당되지만 텔레그램은 국내에 사업장이 없기 때문에 법망에서 빠져나갔다.,절반의 사실
2002,공백,공백
2003,윤석열 주52시간제 한국은 단 1년 만에 16시간 줄였는데 일본은 1년에 2시간씩 줄였다.,전혀 사실 아님
2004,공백,공백
2005,다문화가 늘어나자 각종 질병이 늘어난거다,전혀 사실 아님
2006,한국전력과 한국전력 자회사에 재직 중인 여성 근로자는 여성이라는 이유로 월 1만5000원에서 3만원 사이의 수당을 받는데 이는 위법이라는 주장.,전혀 사실 아님
2007,공백,공백
2008,기업 로고를 패러디해서 선거 홍보에 활용하면 상표법 위반이라는 내용.,전혀 사실 아님
2009,PCR 검사용 면봉에 발암물질이 있다라는 주장.,전혀 사실 아님
2010,질병으로 판단력이 부족한 이용자가 BJ에게 후원한 별풍선은 환불받을 수 있다라는 내용.,절반의 사실
2011,고양이 동영상도 불법 촬영물인지 검열한다라는 주장.,전혀 사실 아님
2012,내년부터는 남녀 성비가 안 맞으면 채용이 취소된다라는 주장.,대체로 사실 아님
2013,최근 인스타그램 등 SNS와 각종 온라인 커뮤니티 등에서 대형 서점이 주로 지하에 있는 이유라는 글이 확산되고 있습니다. 책이 무거워서 도서관용 건물이 따로 있는데 서점용 건물은 따로 없다보니까 지하로 갈 수밖에 없다는 주장인데요. 이 글의 내용이 사실인지 검증해봤습니다..,대체로 사실
2014,코로나19 사망자 중 접종자가 과반이므로 백신은 효과가 없다라는 주장.,대체로 사실 아님
